id_a,id_b,sha_a,sha_b,sim_score,error_types_a,error_types_b
98,99,852f8655c69f4704965b19c0bbfadca6777ef23e,b79f8486bf2063658bf3b2e658c07b7cfbe519bc,0.8641,Runtime Error|Test Failure,Test Failure
138,440,92f010054982b709ab300f53b9a8bd407ab51e3f,7939c1ba9f52be99b937172cf52cb090ad8bbe60,0.8636,Code Styling,Code Styling
412,414,d85d774b0920cc0438fb1f084c93df696fb3f6c8,e067bbd31dc6889b33989fa6f38609e9e58969a0,0.8528,Dependency,Dependency
12,14,edaf59b69f96acdf155c4514061ea648ea6df122,d2f64daf7608d00cb7a8659cfd1dee42c54bb12c,0.8509,Code Formatting,Code Formatting
73,199,c27ea5332c1d979ad2fc0c2b09ff571c9538f423,9ebc254bb14ed052a0ac459d8c109ae8e0c12233,0.8493,Import Error,Code Styling|Import Error
332,339,8dc44333c309188f0a8337f20af6f2c01313b0de,e6d2dc68133f80003d2ac7429bcf7715b8c920d0,0.8426,Static Analysis,Static Analysis
528,540,4cb814c27dd37bbf6ccd194f9d6b2c0a2ac0119d,b41c3a617f8b67bd12b40558e6ce45fcfe18be16,0.835,Environment Error,Environment
388,398,bee41c19610cd35c5663e176e0fe1459e6bd80f3,c2b2c04d2b5fdc5462e0db7eb8847aa85c31b5d9,0.8334,Type Checking,Type Checking
158,160,1d0fff71ae9ea258fad3d54257be9ca9b3eb499e,233c76da6b91def1e9d09a3fe170578c0bded0aa,0.8306,Code Styling,Code Styling
186,176,7da71b58b1eb9b56ac1b4423afd9da61679a706e,6865351833c002710b5e861a4ff6bc05b74afd4b,0.8253,Import Error|Code Styling,Code Styling|Import Error
85,206,f06bfb4ef15132a04a3983b4aa40f2e385ef7c04,aef89d7979ff37db1e5e5a75265767e0c460b0ba,0.8248,Type Checking,Type Checking
169,177,3ab735577ed448887a8f1f463c73a611a4ca253e,69a56c3a1a48f96da4e8c6f71b19dfd71f3f2b8c,0.8203,Code Styling,Code Styling
73,205,c27ea5332c1d979ad2fc0c2b09ff571c9538f423,ae364459a503a2867eeef3ede75f24ad3b5d5839,0.8141,Import Error,Import Error
332,333,8dc44333c309188f0a8337f20af6f2c01313b0de,95dd5bb1f7ae87cf5ab482420b4dd72454165ff3,0.8134,Static Analysis,Static Analysis
202,207,a52d22193b0ad09104ad4afdc6adddffeb5b8894,b55b03d12d1c33d6fb57e3c36aad243bb089b41c,0.8099,Type Checking|Import Error,Type Checking|Import Error
330,333,34d266419c7e9ea075d674394e5fa567c2720d08,95dd5bb1f7ae87cf5ab482420b4dd72454165ff3,0.8099,Code Styling,Static Analysis
73,77,c27ea5332c1d979ad2fc0c2b09ff571c9538f423,d340b3a337398d539f38101282d09dd5e9966354,0.8093,Import Error,Import Error
74,78,c434e89bee35d93f4e741c32dc36c5a9a68404df,d78ebf9508e112a8d2526ec26bcc37d8e8a2bfa2,0.809,Type Checking|Import Error,Import Error|Type Checking
112,116,6aec23d104a077af68fbcf236630ed69d6d965ac,a02c53a0eed80e7332e03b39bac351260afde289,0.8086,Code Styling,Code Styling
79,83,da9d2e853bd3c3111d4d8864906975c75f7e9888,e36b14dc3ee04beb3f0d8c2b89252eb864ea5c1a,0.807,Type Checking|Import Error,Type Checking|Import Error
87,206,f6f8da08fb440f8856510d0837876c41eb182dfc,aef89d7979ff37db1e5e5a75265767e0c460b0ba,0.8067,Type Checking,Type Checking
189,199,82609349d7098fd5ad1c71f0e057f50cd0074404,9ebc254bb14ed052a0ac459d8c109ae8e0c12233,0.806,Code Styling|Import Error,Code Styling|Import Error
486,451,b5b9507e0e063bd08038c29b13d10a09e66a198d,2e7fac1fa5dc8fc049721d23698810c2d2518adf,0.8038,Code Styling,Code Formatting
77,205,d340b3a337398d539f38101282d09dd5e9966354,ae364459a503a2867eeef3ede75f24ad3b5d5839,0.8022,Import Error,Import Error
177,198,69a56c3a1a48f96da4e8c6f71b19dfd71f3f2b8c,9b52669238946cd01f9cc5e99a4b6babf0942cdf,0.8019,Code Styling,Code Styling
528,546,4cb814c27dd37bbf6ccd194f9d6b2c0a2ac0119d,dcba90e30c60bdb723989d610211052f9034bdc8,0.8012,Environment Error,Environment Error|Test Failure
184,207,7b8834b321a97bc57d7a5ac82680c24aff793b91,b55b03d12d1c33d6fb57e3c36aad243bb089b41c,0.7989,Import Error|Type Checking,Type Checking|Import Error
192,199,8474427eeab92e28766b8051d92e6b46379581e9,9ebc254bb14ed052a0ac459d8c109ae8e0c12233,0.7978,Code Styling|Import Error,Code Styling|Import Error
73,74,c27ea5332c1d979ad2fc0c2b09ff571c9538f423,c434e89bee35d93f4e741c32dc36c5a9a68404df,0.7972,Import Error,Type Checking|Import Error
162,176,3045ad82fb7ebc1182bf5d0a1d64713bec621512,6865351833c002710b5e861a4ff6bc05b74afd4b,0.7966,Code Styling|Import Error,Code Styling|Import Error
537,528,9dc2989bf314072dcfa5ddc2e481df5fc3132b07,4cb814c27dd37bbf6ccd194f9d6b2c0a2ac0119d,0.7956,Test Failure,Environment Error
178,188,6ad4e8d6bb1ea167fa88d68f5396968b713dd7ba,7f4d750eaf81c6f8384ed8246180c29bb45ea7bf,0.7949,Type Checking,Type Checking
152,184,110e09997f8a22a617e261dec9e301129bbead65,7b8834b321a97bc57d7a5ac82680c24aff793b91,0.7921,Test Failure|Type Checking,Import Error|Type Checking
414,418,e067bbd31dc6889b33989fa6f38609e9e58969a0,ed81322247e526f87264c1f8b8e067307cf4a2e3,0.7919,Dependency,Dependency
78,79,d78ebf9508e112a8d2526ec26bcc37d8e8a2bfa2,da9d2e853bd3c3111d4d8864906975c75f7e9888,0.79,Import Error|Type Checking,Type Checking|Import Error
475,479,9388a2af668cc9def219ceca43c66a649bdc69d0,9df3e7857276b4804d1fadc0c33b4df0c6e5c254,0.79,Network,Network
79,207,da9d2e853bd3c3111d4d8864906975c75f7e9888,b55b03d12d1c33d6fb57e3c36aad243bb089b41c,0.789,Type Checking|Import Error,Type Checking|Import Error
79,165,da9d2e853bd3c3111d4d8864906975c75f7e9888,344c0994f4fce22a64ad9c57270679e51b8e66e6,0.7881,Type Checking|Import Error,Type Checking|Import Error
459,475,6af171ff8190efbbd9b72aa19b11564279fd37f2,9388a2af668cc9def219ceca43c66a649bdc69d0,0.7871,Network,Network
527,529,459cfd9a9110080f68d50b9ae3b63fa17b0f2f0c,511a9296c9215864baf1a1a7ae843ccfa0efdfd9,0.7859,Environment Error|Test Failure,Environment Error|Runtime Error|Test Failure
209,200,b9a749745c9e91ee446a6ebdda7640d49cac8027,a19827aa499277f65d5314ace68e2ddee7a25f4c,0.7855,Test Failure|Type Checking,Type Checking|Test Failure
11,15,cced5b5d68a3fe1a02d8ac1186e9d12b6c75dc8d,c3f4fe9eefdb297183b6d51bfc305e40feeec358,0.7852,Code Formatting,Code Formatting
73,79,c27ea5332c1d979ad2fc0c2b09ff571c9538f423,da9d2e853bd3c3111d4d8864906975c75f7e9888,0.7851,Import Error,Type Checking|Import Error
507,517,82fe739a979a58067738c7f97cbb8444f12277d5,a33b26d8520a396ba5dd2de736b63046422ca368,0.7851,Type Checking|Code Styling,Code Styling|Type Checking
114,117,78131a41338361909ae6e81399a5eac2579498bf,a6517d5fc23bbb6be3424924264025b961df3fe2,0.7816,Dependency Error|Type Checking,Code Styling|Type Checking
177,186,69a56c3a1a48f96da4e8c6f71b19dfd71f3f2b8c,7da71b58b1eb9b56ac1b4423afd9da61679a706e,0.7811,Code Styling,Import Error|Code Styling
162,186,3045ad82fb7ebc1182bf5d0a1d64713bec621512,7da71b58b1eb9b56ac1b4423afd9da61679a706e,0.7794,Code Styling|Import Error,Import Error|Code Styling
527,544,459cfd9a9110080f68d50b9ae3b63fa17b0f2f0c,c69fd6009fd8b027305163e7e4200f6ad67af95a,0.7793,Environment Error|Test Failure,Environment Error|Test Failure
160,198,233c76da6b91def1e9d09a3fe170578c0bded0aa,9b52669238946cd01f9cc5e99a4b6babf0942cdf,0.779,Code Styling,Code Styling
74,207,c434e89bee35d93f4e741c32dc36c5a9a68404df,b55b03d12d1c33d6fb57e3c36aad243bb089b41c,0.7787,Type Checking|Import Error,Type Checking|Import Error
160,177,233c76da6b91def1e9d09a3fe170578c0bded0aa,69a56c3a1a48f96da4e8c6f71b19dfd71f3f2b8c,0.7786,Code Styling,Code Styling
192,176,8474427eeab92e28766b8051d92e6b46379581e9,6865351833c002710b5e861a4ff6bc05b74afd4b,0.7785,Code Styling|Import Error,Code Styling|Import Error
14,15,d2f64daf7608d00cb7a8659cfd1dee42c54bb12c,c3f4fe9eefdb297183b6d51bfc305e40feeec358,0.7765,Code Formatting,Code Formatting
74,186,c434e89bee35d93f4e741c32dc36c5a9a68404df,7da71b58b1eb9b56ac1b4423afd9da61679a706e,0.7732,Type Checking|Import Error,Import Error|Code Styling
115,126,992b9a36ee14ce62ac8639c1ec88ba83e375e525,ed13d89504c50a1b3f5d9757b74c7aaf38356150,0.7728,Type Checking,Static Analysis|Type Checking
151,184,09c3a7624b042f0af173fb95362fbefbb3d32522,7b8834b321a97bc57d7a5ac82680c24aff793b91,0.7727,Import Error|Type Checking,Import Error|Type Checking
12,15,edaf59b69f96acdf155c4514061ea648ea6df122,c3f4fe9eefdb297183b6d51bfc305e40feeec358,0.7719,Code Formatting,Code Formatting
295,165,d6626e5de246cce87651793060322ff1b3f7e0c0,344c0994f4fce22a64ad9c57270679e51b8e66e6,0.771,Import Error,Type Checking|Import Error
86,186,f2436c62292765f014a0dd30a013035abd13c33f,7da71b58b1eb9b56ac1b4423afd9da61679a706e,0.7697,Type Checking|Import Error,Import Error|Code Styling
123,124,d4593aedbc14dbd885f63009dcb0a4b962a04be6,da7ae359227a089cedf0b7aba53962766e7eb0b2,0.7685,Test Failure|Type Checking,Type Checking|Dependency Error
459,490,6af171ff8190efbbd9b72aa19b11564279fd37f2,c2b5e0bfc9cbe7e066893953cb5a06851e303a54,0.7677,Network,Network
137,132,7c228365e8de18c41dfe96d6035bc7c528663f2b,1559358d5679d353417ef140c1894997b4c7160f,0.7672,Type Checking,Type Checking
74,199,c434e89bee35d93f4e741c32dc36c5a9a68404df,9ebc254bb14ed052a0ac459d8c109ae8e0c12233,0.7668,Type Checking|Import Error,Code Styling|Import Error
187,189,7efb1f09096dd41ea09b30ceb17746686931d1cf,82609349d7098fd5ad1c71f0e057f50cd0074404,0.7652,Code Styling|Import Error,Code Styling|Import Error
89,151,fb10c6e8e2f7ca6d855f8cfeda8bae8f4a644e7c,09c3a7624b042f0af173fb95362fbefbb3d32522,0.7641,Import Error|Type Checking,Import Error|Type Checking
473,480,926f6108861434b74b89f4836c9ee0f3bd0ebe78,9f86e5eaae5340895bc2ff917672bb3d0b8c8a3c,0.764,Network,Network
529,544,511a9296c9215864baf1a1a7ae843ccfa0efdfd9,c69fd6009fd8b027305163e7e4200f6ad67af95a,0.7636,Environment Error|Runtime Error|Test Failure,Environment Error|Test Failure
475,495,9388a2af668cc9def219ceca43c66a649bdc69d0,f20dec3285bbb18784f228e767f58580cdbc5251,0.7626,Network,Network
535,544,917c6c79402d69402ae4d4229f9a44cb49bf6867,c69fd6009fd8b027305163e7e4200f6ad67af95a,0.762,Environment Error,Environment Error|Test Failure
85,208,f06bfb4ef15132a04a3983b4aa40f2e385ef7c04,b71bbb2badf2b10a82cbf28201187592972c377d,0.7614,Type Checking,Type Checking
186,189,7da71b58b1eb9b56ac1b4423afd9da61679a706e,82609349d7098fd5ad1c71f0e057f50cd0074404,0.76,Import Error|Code Styling,Code Styling|Import Error
506,510,80fe937279863ecf49a66640859a9d9dd17ec23b,8607b72d71832c853bbf49929ff06c4429e99cd9,0.7598,Code Styling,Code Styling
181,189,6fe4e00e8863c8da28d241cb65632725de6db64b,82609349d7098fd5ad1c71f0e057f50cd0074404,0.7591,Code Styling|Import Error,Code Styling|Import Error
115,117,992b9a36ee14ce62ac8639c1ec88ba83e375e525,a6517d5fc23bbb6be3424924264025b961df3fe2,0.759,Type Checking,Code Styling|Type Checking
79,199,da9d2e853bd3c3111d4d8864906975c75f7e9888,9ebc254bb14ed052a0ac459d8c109ae8e0c12233,0.7586,Type Checking|Import Error,Code Styling|Import Error
415,419,e1dbd83b5eccd0a5435563900d30381bb4d4f27a,f35834221f9415921e1e7f49ecd2db4fb92e1daf,0.7582,Dependency,Dependency
169,186,3ab735577ed448887a8f1f463c73a611a4ca253e,7da71b58b1eb9b56ac1b4423afd9da61679a706e,0.758,Code Styling,Import Error|Code Styling
109,116,5f98672f68c7f4acdf3e6f68fd79e66b56d0b529,a02c53a0eed80e7332e03b39bac351260afde289,0.758,Code Formatting,Code Styling
480,482,9f86e5eaae5340895bc2ff917672bb3d0b8c8a3c,a55d718a92a401e1e0f9d9ad56a588f5ec072d74,0.7576,Network,Network
162,199,3045ad82fb7ebc1182bf5d0a1d64713bec621512,9ebc254bb14ed052a0ac459d8c109ae8e0c12233,0.757,Code Styling|Import Error,Code Styling|Import Error
151,202,09c3a7624b042f0af173fb95362fbefbb3d32522,a52d22193b0ad09104ad4afdc6adddffeb5b8894,0.7565,Import Error|Type Checking,Type Checking|Import Error
8,9,385c14d0ae500918cff5565ea836884bfaa2bfa5,4d5898b8a73c93e1ed4434744c2fa7c3f7fbd501,0.7562,Code Styling|Code Formatting,Code Styling
90,161,ff5106ea7e8f83cb7a85bbee6f2299ac736ac860,235e19d6998790dd527e8a43710990aef29359b1,0.7558,Type Checking|Test Failure,Test Failure|Type Checking
78,207,d78ebf9508e112a8d2526ec26bcc37d8e8a2bfa2,b55b03d12d1c33d6fb57e3c36aad243bb089b41c,0.7555,Import Error|Type Checking,Type Checking|Import Error
447,494,091b008384f701eda98979586e9f051aeb6ab7e6,ee19007ba4a51af406a9e80d2b1b53ffc7d713a7,0.7544,Network Error,Network Error
156,167,1a6efefa726610d7ca262beb8e6adf1607829dbb,39d992d415c335b61f670c31a68c0edc578e5062,0.7533,Type Checking|Import Error,Import Error|Type Checking
473,490,926f6108861434b74b89f4836c9ee0f3bd0ebe78,c2b5e0bfc9cbe7e066893953cb5a06851e303a54,0.7532,Network,Network
390,405,c0170b76dce30f86ad587eb32a2e030d8c715480,c4ad9dac070fb520b3e6d5a68fa9822a9620b311,0.7529,Code Styling,Code Styling
152,172,110e09997f8a22a617e261dec9e301129bbead65,55c8c01643e65d53cf29664e5d5dc6d7307272d6,0.7527,Test Failure|Type Checking,Test Failure|Type Checking
156,193,1a6efefa726610d7ca262beb8e6adf1607829dbb,84d26c4b6b5881367cdabfc56d29b50389f1ba92,0.7526,Type Checking|Import Error,Import Error|Type Checking
412,418,d85d774b0920cc0438fb1f084c93df696fb3f6c8,ed81322247e526f87264c1f8b8e067307cf4a2e3,0.7522,Dependency,Dependency
372,374,96dafcc506deebe62c5cc7baf77861e0222fd4de,ceac7609b4d07be6653735414990c9218fc4eac8,0.752,Dependency Error,Dependency Error
140,137,c9766a5e3d0c982cd148a391e63fb0f7c386b17e,7c228365e8de18c41dfe96d6035bc7c528663f2b,0.7509,Type Checking,Type Checking
152,202,110e09997f8a22a617e261dec9e301129bbead65,a52d22193b0ad09104ad4afdc6adddffeb5b8894,0.7506,Test Failure|Type Checking,Type Checking|Import Error
414,415,e067bbd31dc6889b33989fa6f38609e9e58969a0,e1dbd83b5eccd0a5435563900d30381bb4d4f27a,0.7504,Dependency,Dependency
87,208,f6f8da08fb440f8856510d0837876c41eb182dfc,b71bbb2badf2b10a82cbf28201187592972c377d,0.7502,Type Checking,Type Checking
186,187,7da71b58b1eb9b56ac1b4423afd9da61679a706e,7efb1f09096dd41ea09b30ceb17746686931d1cf,0.7502,Import Error|Code Styling,Code Styling|Import Error
199,205,9ebc254bb14ed052a0ac459d8c109ae8e0c12233,ae364459a503a2867eeef3ede75f24ad3b5d5839,0.7495,Code Styling|Import Error,Import Error
475,490,9388a2af668cc9def219ceca43c66a649bdc69d0,c2b5e0bfc9cbe7e066893953cb5a06851e303a54,0.7481,Network,Network
187,199,7efb1f09096dd41ea09b30ceb17746686931d1cf,9ebc254bb14ed052a0ac459d8c109ae8e0c12233,0.7472,Code Styling|Import Error,Code Styling|Import Error
460,478,734baee3ea9e591888c79c1976e36c460da45528,9cf62fab15cce046bb01baf9d0d312ba4da659c3,0.7467,Code Styling,Code Styling
412,415,d85d774b0920cc0438fb1f084c93df696fb3f6c8,e1dbd83b5eccd0a5435563900d30381bb4d4f27a,0.7466,Dependency,Dependency
91,186,ff8929ce168fb87cf50f6a52e4cc3b12b8fd5e2e,7da71b58b1eb9b56ac1b4423afd9da61679a706e,0.7464,Import Error|Code Styling,Import Error|Code Styling
151,156,09c3a7624b042f0af173fb95362fbefbb3d32522,1a6efefa726610d7ca262beb8e6adf1607829dbb,0.7464,Import Error|Type Checking,Type Checking|Import Error
187,176,7efb1f09096dd41ea09b30ceb17746686931d1cf,6865351833c002710b5e861a4ff6bc05b74afd4b,0.7452,Code Styling|Import Error,Code Styling|Import Error
568,571,10a55bd2102c1f482ef8f7a0d6efd2f3776d3cf2,148c3bae1aa467fb5a22a91f7fa6e4f434032ba1,0.7437,Linting,Linting
11,12,cced5b5d68a3fe1a02d8ac1186e9d12b6c75dc8d,edaf59b69f96acdf155c4514061ea648ea6df122,0.7435,Code Formatting,Code Formatting
334,337,a1741388832b295ac6f4f031820ea292f484c64a,d1fc8665c79e298c95cecc5e770fd2454ff5aada,0.7432,Static Analysis,Static Analysis
79,295,da9d2e853bd3c3111d4d8864906975c75f7e9888,d6626e5de246cce87651793060322ff1b3f7e0c0,0.7429,Type Checking|Import Error,Import Error
183,203,78c5d662bf2145c91356e5185db05a17950b3dc4,ac2b8825370e010e3875415296d16506d231bb90,0.7427,Type Checking|Import Error,Type Checking|Import Error
151,207,09c3a7624b042f0af173fb95362fbefbb3d32522,b55b03d12d1c33d6fb57e3c36aad243bb089b41c,0.7418,Import Error|Type Checking,Type Checking|Import Error
527,545,459cfd9a9110080f68d50b9ae3b63fa17b0f2f0c,c6e622ac4765055bd95f5358a6f19ed3970da9b4,0.7418,Environment Error|Test Failure,Environment Error|Test Failure
568,569,10a55bd2102c1f482ef8f7a0d6efd2f3776d3cf2,130a7fc1e0a80a2f0f25f03663afd7fe38493e2c,0.7415,Linting,Code Styling
214,215,d76dc85f4b7ccf18eb28510f36e2b8fcd7ce2bff,6045a677ac736652e43bacb313f2fa2ab56c7cda,0.741,Type Checking,Type Checking
76,79,d1e88b8766d152d7d4e7911a0072591db1eb4bcd,da9d2e853bd3c3111d4d8864906975c75f7e9888,0.7409,Import Error|Type Checking|Code Styling,Type Checking|Import Error
85,87,f06bfb4ef15132a04a3983b4aa40f2e385ef7c04,f6f8da08fb440f8856510d0837876c41eb182dfc,0.7409,Type Checking,Type Checking
107,115,44cc14aa3f36dbd14049106933dcd12bdb1fead4,992b9a36ee14ce62ac8639c1ec88ba83e375e525,0.7409,Type Checking,Type Checking
490,495,c2b5e0bfc9cbe7e066893953cb5a06851e303a54,f20dec3285bbb18784f228e767f58580cdbc5251,0.7399,Network,Network
164,188,33ed019c7f623b9fb89b1430b38c7e7a7aefa57c,7f4d750eaf81c6f8384ed8246180c29bb45ea7bf,0.7398,Type Checking,Type Checking
78,186,d78ebf9508e112a8d2526ec26bcc37d8e8a2bfa2,7da71b58b1eb9b56ac1b4423afd9da61679a706e,0.7397,Import Error|Type Checking,Import Error|Code Styling
72,160,c0f40b6ac7f75f8a20f3af07f5277d97188c378f,233c76da6b91def1e9d09a3fe170578c0bded0aa,0.7394,Code Styling,Code Styling
116,119,a02c53a0eed80e7332e03b39bac351260afde289,af6a0b457a537777e1e18111b49dbe9abfffb2cd,0.7392,Code Styling,Code Styling|Network Error
80,203,dc07b7a4e5314d29edb7e9c30d36e12a6dec3dd7,ac2b8825370e010e3875415296d16506d231bb90,0.7385,Test Failure|Type Checking,Type Checking|Import Error
77,199,d340b3a337398d539f38101282d09dd5e9966354,9ebc254bb14ed052a0ac459d8c109ae8e0c12233,0.7384,Import Error,Code Styling|Import Error
143,444,076846e0a5144086c33090675a893d97305c8d52,2d3846f9b793ef4830755e953779cbd4f5d7680c,0.7381,Test Failure,Configuration Error|Dependency Error
74,165,c434e89bee35d93f4e741c32dc36c5a9a68404df,344c0994f4fce22a64ad9c57270679e51b8e66e6,0.7378,Type Checking|Import Error,Type Checking|Import Error
193,207,84d26c4b6b5881367cdabfc56d29b50389f1ba92,b55b03d12d1c33d6fb57e3c36aad243bb089b41c,0.7378,Import Error|Type Checking,Type Checking|Import Error
158,198,1d0fff71ae9ea258fad3d54257be9ca9b3eb499e,9b52669238946cd01f9cc5e99a4b6babf0942cdf,0.7368,Code Styling,Code Styling
151,167,09c3a7624b042f0af173fb95362fbefbb3d32522,39d992d415c335b61f670c31a68c0edc578e5062,0.7366,Import Error|Type Checking,Import Error|Type Checking
432,433,cec8c72b4609f69a21bebd233c2662fa7bdd078b,d461f312431b69d9e3a4068b50fca6449fd34940,0.7352,Linting,Linting
372,373,96dafcc506deebe62c5cc7baf77861e0222fd4de,bad6b76af688c10ecd094e8e7d9c14a20e1137a7,0.7347,Dependency Error,Dependency Error
30,33,d4ca3713b196de2aee52fd0344d0eb9a9eaada64,c359d794dd0e4baf40be48d584193f88c2213f37,0.7344,Code Styling,Code Styling
387,392,beb9de2399518898238ae072750ada0050e774cc,c058e355b7652337c512f4cad727cc391e641b63,0.7342,Import Error,Import Error
47,49,3dd8e4404a0ce2e29db4911dc2cd7e94755be631,c9991372b81edabb86965638db110ab930f8e165,0.734,Code Styling,Code Styling
162,189,3045ad82fb7ebc1182bf5d0a1d64713bec621512,82609349d7098fd5ad1c71f0e057f50cd0074404,0.7338,Code Styling|Import Error,Code Styling|Import Error
76,207,d1e88b8766d152d7d4e7911a0072591db1eb4bcd,b55b03d12d1c33d6fb57e3c36aad243bb089b41c,0.7335,Import Error|Type Checking|Code Styling,Type Checking|Import Error
384,400,bd65f8074258cddb4e29eb1cc1bce77d1a46883f,c33c39fbc60b7b4c253555282f5f50c051086b41,0.7334,Test Failure,Test Failure
90,209,ff5106ea7e8f83cb7a85bbee6f2299ac736ac860,b9a749745c9e91ee446a6ebdda7640d49cac8027,0.733,Type Checking|Test Failure,Test Failure|Type Checking
164,178,33ed019c7f623b9fb89b1430b38c7e7a7aefa57c,6ad4e8d6bb1ea167fa88d68f5396968b713dd7ba,0.7327,Type Checking,Type Checking
13,15,b639adb71066410b3b12d97a674ee7fcb51e9980,c3f4fe9eefdb297183b6d51bfc305e40feeec358,0.7326,Code Styling,Code Formatting
186,191,7da71b58b1eb9b56ac1b4423afd9da61679a706e,840ad511b904f43678ec438464deb893fda58c8b,0.7324,Import Error|Code Styling,Code Styling|Import Error
73,189,c27ea5332c1d979ad2fc0c2b09ff571c9538f423,82609349d7098fd5ad1c71f0e057f50cd0074404,0.7319,Import Error,Code Styling|Import Error
165,207,344c0994f4fce22a64ad9c57270679e51b8e66e6,b55b03d12d1c33d6fb57e3c36aad243bb089b41c,0.7316,Type Checking|Import Error,Type Checking|Import Error
459,495,6af171ff8190efbbd9b72aa19b11564279fd37f2,f20dec3285bbb18784f228e767f58580cdbc5251,0.731,Network,Network
535,540,917c6c79402d69402ae4d4229f9a44cb49bf6867,b41c3a617f8b67bd12b40558e6ce45fcfe18be16,0.731,Environment Error,Environment
163,176,31d6eba6f9be2ea8fc3bf80efc498075f6241cb5,6865351833c002710b5e861a4ff6bc05b74afd4b,0.73,Code Styling|Test Failure,Code Styling|Import Error
156,202,1a6efefa726610d7ca262beb8e6adf1607829dbb,a52d22193b0ad09104ad4afdc6adddffeb5b8894,0.7299,Type Checking|Import Error,Type Checking|Import Error
506,522,80fe937279863ecf49a66640859a9d9dd17ec23b,ab9c7f77e0f9f30dc850a0e808f8eacace0a4b2b,0.7298,Code Styling,Code Styling
152,207,110e09997f8a22a617e261dec9e301129bbead65,b55b03d12d1c33d6fb57e3c36aad243bb089b41c,0.7297,Test Failure|Type Checking,Type Checking|Import Error
117,126,a6517d5fc23bbb6be3424924264025b961df3fe2,ed13d89504c50a1b3f5d9757b74c7aaf38356150,0.7289,Code Styling|Type Checking,Static Analysis|Type Checking
152,175,110e09997f8a22a617e261dec9e301129bbead65,67b1780b01f5d7461dc9b3d189d25acecbdb171d,0.7281,Test Failure|Type Checking,Type Checking|Import Error|Code Styling
482,495,a55d718a92a401e1e0f9d9ad56a588f5ec072d74,f20dec3285bbb18784f228e767f58580cdbc5251,0.7272,Network,Network
460,464,734baee3ea9e591888c79c1976e36c460da45528,770f97a0a0b3f9c8a1e7f4b55ad99376197e28f2,0.7271,Code Styling,Code Styling
175,202,67b1780b01f5d7461dc9b3d189d25acecbdb171d,a52d22193b0ad09104ad4afdc6adddffeb5b8894,0.7267,Type Checking|Import Error|Code Styling,Type Checking|Import Error
452,446,35bcc1e64e7a71cdf06972952cdcebe52cc6a6e9,083b48256813564d301995020b838bfaf6055d79,0.7267,Code Formatting,Code Formatting
156,207,1a6efefa726610d7ca262beb8e6adf1607829dbb,b55b03d12d1c33d6fb57e3c36aad243bb089b41c,0.7266,Type Checking|Import Error,Type Checking|Import Error
150,202,073ad2a4332ae2ea545fd18c601fdf2171d150c6,a52d22193b0ad09104ad4afdc6adddffeb5b8894,0.7262,Type Checking|Import Error,Type Checking|Import Error
157,191,1c533e0065df6fa2c1c75c23125cdc5e8c12ce3c,840ad511b904f43678ec438464deb893fda58c8b,0.7256,Import Error|Code Styling,Code Styling|Import Error
162,192,3045ad82fb7ebc1182bf5d0a1d64713bec621512,8474427eeab92e28766b8051d92e6b46379581e9,0.7256,Code Styling|Import Error,Code Styling|Import Error
527,541,459cfd9a9110080f68d50b9ae3b63fa17b0f2f0c,b83cb34fc3527b13da672608f375fedf557d6853,0.7256,Environment Error|Test Failure,Environment Error|Test Failure
