repo,id,sha_fail,error_types,fix_type,temporal_rank_all,temporal_pct_all,temporal_rank_recurrent,recurrence_count,future_count,past_count,avg_sim,rcss_score,best_past_sim,pool,role
agno-agi/agno,165,344c0994f4fce22a64ad9c57270679e51b8e66e6,"Type Checking, Import Error",test_fix,38,44.6,38,32,15,17,0.6604,32.6604,0.7881,eval,eval
agno-agi/agno,73,c27ea5332c1d979ad2fc0c2b09ff571c9538f423,Import Error,import_fix,3,2.4,3,31,31,0,0.6739,31.6739,0.0,memory,memory
agno-agi/agno,191,840ad511b904f43678ec438464deb893fda58c8b,"Code Styling, Import Error",test_fix,64,75.9,63,28,6,22,0.6517,28.6517,0.7324,eval,eval
agno-agi/agno,89,fb10c6e8e2f7ca6d855f8cfeda8bae8f4a644e7c,"Import Error, Type Checking",import_fix,19,21.7,19,28,21,7,0.6502,28.6502,0.6446,memory,memory
agno-agi/agno,167,39d992d415c335b61f670c31a68c0edc578e5062,"Import Error, Type Checking",structural_fix,40,47.0,40,26,9,17,0.6554,26.6554,0.7533,eval,eval
agno-agi/agno,193,84d26c4b6b5881367cdabfc56d29b50389f1ba92,"Import Error, Type Checking",structural_fix,66,78.3,65,26,5,21,0.6547,26.6547,0.7526,eval,eval
agno-agi/agno,175,67b1780b01f5d7461dc9b3d189d25acecbdb171d,"Type Checking, Import Error",type_annotation_fix,48,56.6,48,26,10,16,0.6535,26.6535,0.7281,eval,eval
agno-agi/agno,176,6865351833c002710b5e861a4ff6bc05b74afd4b,"Code Styling, Import Error",import_fix,49,57.8,49,25,11,14,0.6762,25.6762,0.7966,eval,eval
agno-agi/agno,162,3045ad82fb7ebc1182bf5d0a1d64713bec621512,"Code Styling, Import Error",import_fix,35,41.0,35,25,20,5,0.6717,25.6717,0.663,eval,eval
agno-agi/agno,77,d340b3a337398d539f38101282d09dd5e9966354,Import Error,import_fix,7,7.2,7,25,22,3,0.6507,25.6507,0.8093,memory,memory
agno-agi/agno,76,d1e88b8766d152d7d4e7911a0072591db1eb4bcd,"Import Error, Type Checking",type_annotation_fix,6,6.0,6,23,21,2,0.6629,23.6629,0.6921,memory,memory
agno-agi/agno,172,55c8c01643e65d53cf29664e5d5dc6d7307272d6,"Test Failure, Type Checking",type_annotation_fix,45,53.0,45,23,12,11,0.6541,23.6541,0.7527,eval,eval
agno-agi/agno,187,7efb1f09096dd41ea09b30ceb17746686931d1cf,"Code Styling, Import Error",import_fix,60,71.1,60,22,7,15,0.6569,22.6569,0.7502,eval,eval
agno-agi/agno,200,a19827aa499277f65d5314ace68e2ddee7a25f4c,"Type Checking, Test Failure",import_fix,73,86.7,72,22,2,20,0.6544,22.6544,0.7169,eval,eval
agno-agi/agno,84,ede117552a48bee7f674fbfab87d9586f2fabe19,"Import Error, Type Checking",dependency_install_fix,14,15.7,14,22,18,4,0.6401,22.6401,0.6459,memory,memory
agno-agi/agno,155,1a41bfdce3fbdd13b1269f0acc04885762c39dd1,"Type Checking, Import Error",structural_fix,28,32.5,28,21,12,9,0.661,21.661,0.7079,eval,eval
agno-agi/agno,90,ff5106ea7e8f83cb7a85bbee6f2299ac736ac860,"Type Checking, Test Failure",test_fix,20,22.9,20,21,16,5,0.6566,21.6566,0.6969,memory,memory
agno-agi/agno,203,ac2b8825370e010e3875415296d16506d231bb90,"Type Checking, Import Error",minor_fix,76,90.4,75,21,1,20,0.6514,21.6514,0.7427,eval,eval
agno-agi/agno,197,98c0877ed94c574c7a6eae2f2eb662bfcef1ba87,"Test Failure, Type Checking",test_fix,70,83.1,69,21,5,16,0.6358,21.6358,0.7034,eval,eval
agno-agi/agno,205,ae364459a503a2867eeef3ede75f24ad3b5d5839,Import Error,import_fix,78,92.8,77,19,2,17,0.6801,19.6801,0.8141,eval,eval
agno-agi/agno,209,b9a749745c9e91ee446a6ebdda7640d49cac8027,"Test Failure, Type Checking",import_fix,82,97.6,81,19,0,19,0.6656,19.6656,0.7855,eval,eval
agno-agi/agno,183,78c5d662bf2145c91356e5185db05a17950b3dc4,"Type Checking, Import Error",minor_fix,56,66.3,56,19,8,11,0.6469,19.6469,0.7245,eval,eval
agno-agi/agno,295,d6626e5de246cce87651793060322ff1b3f7e0c0,Import Error,test_fix,83,98.8,82,18,0,18,0.6601,18.6601,0.771,eval,eval
agno-agi/agno,168,3a9a0b4124d28c2f4735ffad30b83bf4b1c82477,"Import Error, Code Styling",minor_fix,41,48.2,41,18,12,6,0.6315,18.6315,0.6687,eval,eval
agno-agi/agno,181,6fe4e00e8863c8da28d241cb65632725de6db64b,"Code Styling, Import Error",minor_fix,54,63.9,54,17,8,9,0.6594,17.6594,0.7086,eval,eval
agno-agi/agno,150,073ad2a4332ae2ea545fd18c601fdf2171d150c6,"Type Checking, Import Error",minor_fix,23,26.5,23,17,15,2,0.6536,17.6536,0.6335,memory,memory
agno-agi/agno,204,acdbed3f7aacf32067b3353d653825efd06caeac,"Import Error, Type Checking",test_fix,77,91.6,76,17,0,17,0.6415,17.6415,0.7122,eval,eval
agno-agi/agno,153,16c6139ab089f3cd774175cc7a5bc2e0cbd52699,"Import Error, Type Checking",import_fix,26,30.1,26,17,7,10,0.6268,17.6268,0.689,eval,eval
agno-agi/agno,80,dc07b7a4e5314d29edb7e9c30d36e12a6dec3dd7,"Test Failure, Type Checking",import_fix,10,10.8,10,16,13,3,0.6478,16.6478,0.6951,memory,memory
agno-agi/agno,88,fa597eab63defb9e7e146e73c6ee23fb00f16284,"Test Failure, Type Checking",test_fix,18,20.5,18,16,13,3,0.633,16.633,0.6449,memory,memory
conan-io/conan,529,511a9296c9215864baf1a1a7ae843ccfa0efdfd9,"Environment Error, Runtime Error",minor_fix,7,25.0,7,15,12,3,0.6522,15.6522,0.7859,eval,eval
agno-agi/agno,91,ff8929ce168fb87cf50f6a52e4cc3b12b8fd5e2e,"Import Error, Code Styling",import_fix,21,24.1,21,15,13,2,0.6356,15.6356,0.632,memory,memory
agno-agi/agno,157,1c533e0065df6fa2c1c75c23125cdc5e8c12ce3c,"Import Error, Code Styling",import_fix,30,34.9,30,15,11,4,0.6305,15.6305,0.6192,eval,eval
agno-agi/agno,177,69a56c3a1a48f96da4e8c6f71b19dfd71f3f2b8c,Code Styling,import_fix,50,59.0,50,14,5,9,0.692,14.692,0.8203,eval,eval
agno-agi/agno,206,aef89d7979ff37db1e5e5a75265767e0c460b0ba,Type Checking,structural_fix,79,94.0,78,14,2,12,0.6741,14.6741,0.8248,eval,eval
agno-agi/agno,163,31d6eba6f9be2ea8fc3bf80efc498075f6241cb5,"Code Styling, Test Failure",import_fix,36,42.2,36,14,10,4,0.6535,14.6535,0.6943,eval,eval
agno-agi/agno,154,18f4596992d6c36ccf9da84ae30083ef65878130,"Code Styling, Import Error",test_fix,27,31.3,27,14,11,3,0.6364,14.6364,0.6251,eval,eval
conan-io/conan,527,459cfd9a9110080f68d50b9ae3b63fa17b0f2f0c,"Environment Error, Test Failure",test_fix,5,16.7,5,13,11,2,0.6842,13.6842,0.6548,memory,memory
agno-agi/agno,85,f06bfb4ef15132a04a3983b4aa40f2e385ef7c04,Type Checking,structural_fix,15,16.9,15,13,11,2,0.6718,13.6718,0.6788,memory,memory
agno-agi/agno,83,e36b14dc3ee04beb3f0d8c2b89252eb864ea5c1a,"Type Checking, Import Error",import_fix,13,14.5,13,13,7,6,0.6626,13.6626,0.807,memory,memory
browser-use/browser-use,507,82fe739a979a58067738c7f97cbb8444f12277d5,"Type Checking, Code Styling",config_fix,12,42.3,9,13,8,5,0.6565,13.6565,0.7007,eval,eval
agno-agi/agno,179,6e5f3fc6534025b5711d84f144d3071f1ff403d2,"Import Error, Code Styling",dependency_update,52,61.4,52,13,8,5,0.6311,13.6311,0.6629,eval,eval
agno-agi/agno,160,233c76da6b91def1e9d09a3fe170578c0bded0aa,Code Styling,import_fix,33,38.6,33,12,8,4,0.6947,12.6947,0.8306,eval,eval
agno-agi/agno,87,f6f8da08fb440f8856510d0837876c41eb182dfc,Type Checking,type_check_fix,17,19.3,17,12,9,3,0.6896,12.6896,0.7409,memory,memory
adap/flower,115,992b9a36ee14ce62ac8639c1ec88ba83e375e525,Type Checking,format_fix,14,50.0,14,12,6,6,0.6773,12.6773,0.7409,eval,eval
adap/flower,117,a6517d5fc23bbb6be3424924264025b961df3fe2,"Code Styling, Type Checking",format_fix,16,57.7,16,12,1,11,0.6665,12.6665,0.7816,eval,eval
browser-use/browser-use,506,80fe937279863ecf49a66640859a9d9dd17ec23b,Code Styling,minor_fix,11,38.5,8,12,9,3,0.6615,12.6615,0.6481,eval,eval
browser-use/browser-use,508,845e83099b5364b6bede874608bdad62ac318bc9,Type Checking,minor_fix,13,46.2,10,12,8,4,0.6455,12.6455,0.7103,eval,eval
conan-io/conan,546,dcba90e30c60bdb723989d610211052f9034bdc8,"Environment Error, Test Failure",import_fix,24,95.8,20,11,0,11,0.7225,11.7225,0.9119,eval,eval
agno-agi/agno,158,1d0fff71ae9ea258fad3d54257be9ca9b3eb499e,Code Styling,import_fix,31,36.1,31,11,9,2,0.682,11.682,0.7012,eval,eval
agno-agi/agno,296,f6adbaa7d295c83c481fbd8ad452eb1883f42a2c,"Import Error, Code Styling",import_fix,84,100.0,83,11,0,11,0.6273,11.6273,0.6851,eval,excluded_eval_no_mem
agno-agi/agno,198,9b52669238946cd01f9cc5e99a4b6babf0942cdf,Code Styling,import_fix,71,84.3,70,10,1,9,0.6887,10.6887,0.8019,eval,eval
agno-agi/agno,169,3ab735577ed448887a8f1f463c73a611a4ca253e,Code Styling,import_fix,42,49.4,42,10,5,5,0.6853,10.6853,0.7124,eval,eval
conan-io/conan,544,c69fd6009fd8b027305163e7e4200f6ad67af95a,"Environment Error, Test Failure",minor_fix,22,87.5,18,10,2,8,0.6835,10.6835,0.7793,eval,eval
conan-io/conan,535,917c6c79402d69402ae4d4229f9a44cb49bf6867,Environment Error,test_fix,13,50.0,12,10,7,3,0.6798,10.6798,0.6744,eval,eval
agno-agi/agno,188,7f4d750eaf81c6f8384ed8246180c29bb45ea7bf,Type Checking,type_annotation_fix,61,72.3,61,10,3,7,0.6755,10.6755,0.7949,eval,eval
agno-agi/agno,81,dc63689a775dcb8f90cac9824149e21c3a868cc1,Type Checking,import_fix,11,12.0,11,10,9,1,0.6511,10.6511,0.6254,memory,memory
conan-io/conan,545,c6e622ac4765055bd95f5358a6f19ed3970da9b4,"Environment Error, Test Failure",test_fix,23,91.7,19,10,1,9,0.649,10.649,0.7418,eval,eval
agno-agi/agno,182,754f4d3afe097bd3d360bb8a186acd95cc2542ea,Test Failure,test_fix,55,65.1,55,10,3,7,0.6391,10.6391,0.6625,eval,eval
agno-agi/agno,170,4b5113e905468a8710137ff717685e5728e9cadf,"Import Error, Type Checking",test_fix,43,50.6,43,10,4,6,0.6351,10.6351,0.6587,eval,eval
conan-io/conan,540,b41c3a617f8b67bd12b40558e6ce45fcfe18be16,Environment,import_fix,18,70.8,16,9,3,6,0.7263,9.7263,0.8893,eval,eval
agno-agi/agno,208,b71bbb2badf2b10a82cbf28201187592972c377d,Type Checking,import_fix,81,96.4,80,9,0,9,0.6897,9.6897,0.7614,eval,eval
agno-agi/agno,82,e22825fa77b3e549db08147a90c061e695726fb2,Code Styling,import_fix,12,13.3,12,9,9,0,0.6712,9.6712,0.0,memory,memory
agno-agi/agno,180,6f19da809ef086cec3d81173f2c1b849e81c896d,Type Checking,structural_fix,53,62.7,53,9,4,5,0.6645,9.6645,0.6867,eval,eval
browser-use/browser-use,517,a33b26d8520a396ba5dd2de736b63046422ca368,"Code Styling, Type Checking",config_fix,22,80.8,19,9,2,7,0.6598,9.6598,0.7851,eval,eval
axolotl-ai-cloud/axolotl,464,770f97a0a0b3f9c8a1e7f4b55ad99376197e28f2,Code Styling,format_fix,20,38.0,17,9,4,5,0.6579,9.6579,0.7271,eval,eval
agno-agi/agno,75,ca75b3dc2cfaf4d6a9409109f10b285bdf6a8097,Type Checking,import_fix,5,4.8,5,9,9,0,0.6538,9.6538,0.0,memory,memory
conan-io/conan,537,9dc2989bf314072dcfa5ddc2e481df5fc3132b07,Test Failure,import_fix,15,58.3,13,8,4,4,0.7223,8.7223,0.7956,eval,eval
axolotl-ai-cloud/axolotl,490,c2b5e0bfc9cbe7e066893953cb5a06851e303a54,Network,minor_fix,46,90.0,40,8,1,7,0.7161,8.7161,0.7677,eval,eval
1panel-dev/maxkb,330,34d266419c7e9ea075d674394e5fa567c2720d08,Code Styling,type_annotation_fix,3,18.2,3,8,6,2,0.6813,8.6813,0.7179,memory,memory
agno-agi/agno,195,96cab6eebb5bd0c37a60a93f3e3495fdb08793f9,Type Checking,structural_fix,68,80.7,67,8,2,6,0.6759,8.6759,0.7231,eval,eval
agno-agi/agno,178,6ad4e8d6bb1ea167fa88d68f5396968b713dd7ba,Type Checking,type_annotation_fix,51,60.2,51,8,3,5,0.6647,8.6647,0.7327,eval,eval
axolotl-ai-cloud/axolotl,445,02237e2a7e177390256eef0d1beb3a0a8c942acc,Code Formatting,minor_fix,1,0.0,1,8,8,0,0.6564,8.6564,0.0,memory,memory
browser-use/browser-use,504,7b5ea73b4d5ae96d3e764a48f2d123c35e4295d2,"Code Styling, Type Checking",minor_fix,9,30.8,6,8,8,0,0.6495,8.6495,0.0,memory,memory
browser-use/browser-use,515,9f1e1bd929f24c15a85450be0835ca82fa187cd2,Type Checking,minor_fix,20,73.1,17,8,1,7,0.6429,8.6429,0.6756,eval,eval
agno-agi/agno,166,37c595ac6f390dbccbcfa20f742faa36f34b194a,Import Error,test_fix,39,45.8,39,8,5,3,0.6396,8.6396,0.6477,eval,eval
adap/flower,116,a02c53a0eed80e7332e03b39bac351260afde289,Code Styling,format_fix,15,53.8,15,7,3,4,0.7191,7.7191,0.8086,eval,eval
axolotl-ai-cloud/axolotl,475,9388a2af668cc9def219ceca43c66a649bdc69d0,Network,minor_fix,31,60.0,26,7,5,2,0.7179,7.7179,0.7871,eval,eval
axolotl-ai-cloud/axolotl,495,f20dec3285bbb18784f228e767f58580cdbc5251,Network,minor_fix,51,100.0,44,7,0,7,0.7178,7.7178,0.7626,eval,eval
1panel-dev/maxkb,333,95dd5bb1f7ae87cf5ab482420b4dd72454165ff3,Static Analysis,type_annotation_fix,6,45.5,6,7,5,2,0.7173,7.7173,0.8134,eval,eval
axolotl-ai-cloud/axolotl,459,6af171ff8190efbbd9b72aa19b11564279fd37f2,Network,minor_fix,15,28.0,12,7,7,0,0.7117,7.7117,0.0,memory,memory
axolotl-ai-cloud/axolotl,482,a55d718a92a401e1e0f9d9ad56a588f5ec072d74,Network,structural_fix,38,74.0,32,7,2,5,0.7061,7.7061,0.7576,eval,eval
axolotl-ai-cloud/axolotl,473,926f6108861434b74b89f4836c9ee0f3bd0ebe78,Network,test_fix,29,56.0,24,7,6,1,0.6858,7.6858,0.6393,eval,eval
axolotl-ai-cloud/axolotl,479,9df3e7857276b4804d1fadc0c33b4df0c6e5c254,Network,import_fix,35,68.0,29,7,3,4,0.6776,7.6776,0.79,eval,eval
adap/flower,126,ed13d89504c50a1b3f5d9757b74c7aaf38356150,"Static Analysis, Type Checking",format_fix,25,92.3,23,7,0,7,0.6731,7.6731,0.7728,eval,eval
adap/flower,107,44cc14aa3f36dbd14049106933dcd12bdb1fead4,Type Checking,format_fix,6,19.2,6,7,7,0,0.6687,7.6687,0.0,memory,memory
axolotl-ai-cloud/axolotl,446,083b48256813564d301995020b838bfaf6055d79,Code Formatting,config_fix,2,2.0,2,7,6,1,0.6619,7.6619,0.6003,memory,memory
agno-agi/agno,201,a4f765fa10f5588775b757a3b3bafb3194f8ac86,"Import Error, Type Checking",import_fix,74,88.0,73,7,1,6,0.6571,7.6571,0.6961,eval,eval
agno-agi/agno,161,235e19d6998790dd527e8a43710990aef29359b1,"Test Failure, Type Checking",test_fix,34,39.8,34,7,5,2,0.6553,7.6553,0.7558,eval,eval
berriai/litellm,378,b80cb885466e25f0de4304f14493d6cff6c7ba20,Test Failure,import_fix,2,3.4,2,7,7,0,0.6521,7.6521,0.0,memory,memory
adap/flower,108,44eb41928c49ec0438728ea76283495461dc2e19,Code Styling,import_fix,7,23.1,7,7,4,3,0.6387,7.6387,0.6089,memory,memory
berriai/litellm,383,bbe646cb38f74b164402f9eac9ee486176f22b8d,Test Failure,test_fix,7,20.7,7,7,6,1,0.6309,7.6309,0.6834,memory,memory
1panel-dev/maxkb,332,8dc44333c309188f0a8337f20af6f2c01313b0de,Static Analysis,type_annotation_fix,5,36.4,5,6,4,2,0.7329,6.7329,0.7081,eval,eval
axolotl-ai-cloud/axolotl,480,9f86e5eaae5340895bc2ff917672bb3d0b8c8a3c,Network,structural_fix,36,70.0,30,6,3,3,0.7064,6.7064,0.764,eval,eval
camel-ai/camel,418,ed81322247e526f87264c1f8b8e067307cf4a2e3,Dependency,type_annotation_fix,12,78.6,10,6,1,5,0.698,6.698,0.7919,eval,excluded_eval_no_mem
adap/flower,114,78131a41338361909ae6e81399a5eac2579498bf,"Dependency Error, Type Checking",format_fix,13,46.2,13,6,4,2,0.6846,6.6846,0.6858,eval,eval
axolotl-ai-cloud/axolotl,451,2e7fac1fa5dc8fc049721d23698810c2d2518adf,Code Formatting,minor_fix,7,12.0,6,6,5,1,0.6826,6.6826,0.7152,memory,memory
axolotl-ai-cloud/axolotl,486,b5b9507e0e063bd08038c29b13d10a09e66a198d,Code Styling,format_fix,42,82.0,36,6,1,5,0.6822,6.6822,0.8038,eval,eval
1panel-dev/maxkb,339,e6d2dc68133f80003d2ac7429bcf7715b8c920d0,Static Analysis,type_annotation_fix,12,100.0,12,6,0,6,0.6816,6.6816,0.8426,eval,eval
1panel-dev/maxkb,334,a1741388832b295ac6f4f031820ea292f484c64a,Static Analysis,type_annotation_fix,7,54.5,7,6,3,3,0.6695,6.6695,0.6913,eval,excluded_eval_no_mem
conan-io/conan,541,b83cb34fc3527b13da672608f375fedf557d6853,"Environment Error, Test Failure",test_fix,19,75.0,17,6,2,4,0.6649,6.6649,0.7256,eval,eval
browser-use/browser-use,518,a45d6ed960156b41ffc8168a07719c49655cf40b,"Code Styling, Type Checking",type_annotation_fix,23,84.6,20,6,1,5,0.6585,6.6585,0.679,eval,eval
axolotl-ai-cloud/axolotl,493,e693b7399ee5911784f4ac4defb28baf9587f984,Code Styling,format_fix,49,96.0,42,6,0,6,0.6527,6.6527,0.6819,eval,eval
adap/flower,113,6aee1d58e8ce6402c48325c8c479dae84596d352,Type Checking,test_fix,12,42.3,12,6,4,2,0.6501,6.6501,0.6633,eval,eval
agno-agi/agno,173,5f24cca27fe01045314ee6ddb7619e164ada0c91,Import Error,test_fix,46,54.2,46,6,2,4,0.6434,6.6434,0.7164,eval,eval
browser-use/browser-use,522,ab9c7f77e0f9f30dc850a0e808f8eacace0a4b2b,Code Styling,minor_fix,27,100.0,23,6,0,6,0.6377,6.6377,0.7298,eval,excluded_eval_no_mem
conan-io/conan,534,7e7ae9921daa1d1c5c74e8f3f8852333b3cd7c53,"Import Error, Environment Error",import_fix,12,45.8,11,6,2,4,0.634,6.634,0.655,eval,eval
berriai/litellm,386,be303e1d1fbff72f804da366b171ac94b4286acc,Test Failure,type_annotation_fix,10,31.0,10,6,2,4,0.6283,6.6283,0.6565,eval,eval
camel-ai/camel,415,e1dbd83b5eccd0a5435563900d30381bb4d4f27a,Dependency,test_fix,9,57.1,7,5,2,3,0.7164,5.7164,0.7504,eval,excluded_eval_no_mem
adap/flower,112,6aec23d104a077af68fbcf236630ed69d6d965ac,Code Styling,structural_fix,11,38.5,11,5,3,2,0.6882,5.6882,0.6625,eval,eval
camel-ai/camel,419,f35834221f9415921e1e7f49ecd2db4fb92e1daf,Dependency,test_fix,13,85.7,11,5,0,5,0.678,5.678,0.7582,eval,excluded_eval_no_mem
berriai/litellm,398,c2b2c04d2b5fdc5462e0db7eb8847aa85c31b5d9,Type Checking,minor_fix,22,72.4,21,5,0,5,0.6734,5.6734,0.8334,eval,eval
adap/flower,109,5f98672f68c7f4acdf3e6f68fd79e66b56d0b529,Code Formatting,format_fix,8,26.9,8,5,4,1,0.6618,5.6618,0.6611,eval,eval
axolotl-ai-cloud/axolotl,491,c46ca36c8e3d00d736d38f01c0f716cd2cade957,"Code Formatting, Network Error",import_fix,47,92.0,41,5,0,5,0.6609,5.6609,0.701,eval,eval
conan-io/conan,538,9fa5da63d346f105d76d80a88d8f8adeb15dc991,Environment Error,minor_fix,16,62.5,14,5,3,2,0.6569,5.6569,0.7093,eval,excluded_eval_no_mem
axolotl-ai-cloud/axolotl,447,091b008384f701eda98979586e9f051aeb6ab7e6,Network Error,import_fix,3,4.0,3,5,5,0,0.6557,5.6557,0.0,memory,memory
axolotl-ai-cloud/axolotl,452,35bcc1e64e7a71cdf06972952cdcebe52cc6a6e9,Code Formatting,format_fix,8,14.0,7,5,3,2,0.6481,5.6481,0.7267,memory,memory
adap/flower,118,a7a139ca8f5d0acdebb205d469166fbe034c2372,Type Checking,minor_fix,17,61.5,17,5,2,3,0.6386,5.6386,0.6847,eval,eval
browser-use/browser-use,513,9bb69bd3d47cee279dd2a63d65476ad37d0398dd,Type Checking,config_fix,18,65.4,15,5,1,4,0.6383,5.6383,0.6776,eval,eval
adap/flower,106,444017d8b29540c809f8a7b6479fcb124f229ab8,"Test Failure, Type Checking",format_fix,5,15.4,5,5,5,0,0.6371,5.6371,0.0,memory,memory
camel-ai/camel,413,dbe785e7397a3849c329fda9c181e9290ac95a2a,Dependency,import_fix,7,42.9,5,5,4,1,0.635,5.635,0.6116,eval,eval
agno-agi/agno,194,8c8e822266755d103faa9166aaa4ab3f2aa3e578,Import Error,dependency_update,67,79.5,66,5,1,4,0.6339,5.6339,0.6237,eval,eval
conan-io/conan,533,724d69aae2ea31412605bf8687fed1abb3a29ba9,Test Failure,minor_fix,11,41.7,10,5,1,4,0.6338,5.6338,0.703,eval,eval
adap/flower,103,1366645090f139b99f4606faf8cb1f054330213e,Type Checking,import_fix,2,3.8,2,5,5,0,0.6305,5.6305,0.0,memory,memory
conan-io/conan,526,44cf736f9ad32392d86c990b2c3140d0ef359fd2,Environment Error,test_fix,4,12.5,4,5,5,0,0.6259,5.6259,0.0,memory,memory
browser-use/browser-use,512,88c4f3ff124763577043c1741057863ee519f9b2,"Type Checking, Code Formatting",dependency_install_fix,17,61.5,14,5,2,3,0.6214,5.6214,0.629,eval,eval
axolotl-ai-cloud/axolotl,462,74f293da0a4e2fbf000f41dcf5d004bfe763efd2,Code Styling,format_fix,18,34.0,15,5,4,1,0.62,5.62,0.6172,eval,excluded_eval_no_mem
skypilot-org/skypilot,15,c3f4fe9eefdb297183b6d51bfc305e40feeec358,Code Formatting,minor_fix,5,100.0,5,4,0,4,0.7665,4.7665,0.7852,eval,eval
camel-ai/camel,414,e067bbd31dc6889b33989fa6f38609e9e58969a0,Dependency,minor_fix,8,50.0,6,4,3,1,0.7653,4.7653,0.8528,eval,excluded_eval_no_mem
conan-io/conan,528,4cb814c27dd37bbf6ccd194f9d6b2c0a2ac0119d,Environment Error,import_fix,6,20.8,6,4,4,0,0.7581,4.7581,0.0,memory,memory
camel-ai/camel,412,d85d774b0920cc0438fb1f084c93df696fb3f6c8,Dependency,test_fix,6,35.7,4,4,4,0,0.738,4.738,0.0,eval,excluded_eval_no_mem
avaiga/taipy,137,7c228365e8de18c41dfe96d6035bc7c528663f2b,Type Checking,import_fix,5,36.4,5,4,1,3,0.709,4.709,0.7672,eval,eval
axolotl-ai-cloud/axolotl,460,734baee3ea9e591888c79c1976e36c460da45528,Code Styling,format_fix,16,30.0,13,4,4,0,0.704,4.704,0.0,memory,memory
agno-agi/agno,72,c0f40b6ac7f75f8a20f3af07f5277d97188c378f,Code Styling,dependency_update,2,1.2,2,4,4,0,0.7006,4.7006,0.0,memory,memory
agno-agi/agno,164,33ed019c7f623b9fb89b1430b38c7e7a7aefa57c,Type Checking,type_check_fix,37,43.4,37,4,3,1,0.6929,4.6929,0.677,eval,eval
avaiga/taipy,132,1559358d5679d353417ef140c1894997b4c7160f,Type Checking,import_fix,1,0.0,1,4,4,0,0.6859,4.6859,0.0,memory,memory
adap/flower,119,af6a0b457a537777e1e18111b49dbe9abfffb2cd,"Code Styling, Network Error",import_fix,18,65.4,18,4,0,4,0.6839,4.6839,0.7392,eval,eval
berriai/litellm,388,bee41c19610cd35c5663e176e0fe1459e6bd80f3,Type Checking,test_fix,12,37.9,12,4,2,2,0.6796,4.6796,0.6394,eval,eval
avaiga/taipy,140,c9766a5e3d0c982cd148a391e63fb0f7c386b17e,Type Checking,import_fix,8,63.6,7,4,0,4,0.6785,4.6785,0.7509,eval,eval
axolotl-ai-cloud/axolotl,463,769e78aa95c081c96ab52c3fb449b6230bb245db,Code Formatting,import_fix,19,36.0,16,4,2,2,0.674,4.674,0.7007,eval,eval
